Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Review,Price,Offer,Rating,Price_In_Thousands,Price_Category,Processor_Brand,Processor_Types,Has_Offer,Value_for_Money
Asus,X1,12Th Gen,8,512,White,2.0,Intel Core I7,473,135308,39.85,3.5,135.308,Premium,Intel,i7,1,38659.42857142857
Acer,15,10Th Gen,4,256,Blue,1.6,AMD Ryzen 3,446,167535,4.81,2.9,167.535,Premium,AMD,Ryzen 3,1,57770.68965517241
Lenovo,15,10Th Gen,32,1024,Grey,2.9,Intel Core I3,610,32650,27.57,4.4,32.65,Budget,Intel,i3,1,7420.454545454545
Asus,Inspiron,10Th Gen,12,512,Black,2.89,AMD Ryzen 5,998,47405,24.84,4.1,47.405,Mid-Range,AMD,Ryzen 5,1,11562.195121951221
Hp,16,10Th Gen,8,256,Silver,2.87,Intel Core I7,563,109612,12.49,3.1,109.612,Premium,Intel,i7,1,35358.709677419356
Hp,16,13Th Gen,16,256,Black,2.99,AMD Ryzen 5,546,114316,17.61,5.0,114.316,Premium,AMD,Ryzen 5,1,22863.2
Hp,X1,11Th Gen,8,1024,Blue,1.3,AMD Ryzen 3,569,58737,24.66,2.6,58.737,Mid-Range,AMD,Ryzen 3,1,22591.153846153844
Lenovo,16,13Th Gen,32,512,Black,1.84,AMD Ryzen 5,537,30771,42.21,3.3,30.771,Budget,AMD,Ryzen 5,1,9324.545454545456
Hp,16,12Th Gen,8,1024,Blue,1.96,AMD Ryzen 5,643,34991,47.45,4.8,34.991,Budget,AMD,Ryzen 5,1,7289.791666666667
Lenovo,16,13Th Gen,16,256,White,2.27,Intel Core I7,363,197739,13.41,3.6,197.739,Premium,Intel,i7,1,54927.5
Acer,X1,10Th Gen,12,512,Blue,1.7,AMD Ryzen 7,617,171235,43.23,4.0,171.235,Premium,AMD,Ryzen 7,1,42808.75
Acer,Vivobook,10Th Gen,12,512,Grey,1.83,AMD Ryzen 5,592,70267,36.32,4.8,70.267,Mid-Range,AMD,Ryzen 5,1,14638.958333333334
Acer,15,13Th Gen,16,1024,Black,2.08,AMD Ryzen 3,588,31881,36.65,3.3,31.881,Budget,AMD,Ryzen 3,1,9660.909090909092
Asus,Vivobook,12Th Gen,8,512,Silver,2.28,Intel Core I7,888,137325,4.0,3.8,137.325,Premium,Intel,i7,1,36138.15789473685
Acer,16,11Th Gen,32,512,White,2.03,Intel Core I5,894,27336,34.74,4.2,27.336,Budget,Intel,i5,1,6508.571428571428
Lenovo,Inspiron,10Th Gen,16,1024,White,2.31,AMD Ryzen 3,343,57829,25.32,4.2,57.829,Mid-Range,AMD,Ryzen 3,1,13768.809523809523
Lenovo,16,11Th Gen,16,512,Blue,1.4,AMD Ryzen 3,108,47455,27.435000000000002,3.2,47.455,Mid-Range,AMD,Ryzen 3,1,14829.6875
Lenovo,14,10Th Gen,12,1024,Grey,1.9,Intel Core I5,568,60678,32.16,4.5,60.678,Mid-Range,Intel,i5,1,13484.0
Lenovo,Vivobook,12Th Gen,4,256,Black,1.52,Intel Core I5,539,144965,19.58,3.7,144.965,Premium,Intel,i5,1,39179.72972972973
Acer,Vivobook,13Th Gen,4,1024,Grey,2.22,AMD Ryzen 5,617,80346,26.689999999999998,4.0,80.346,Premium,AMD,Ryzen 5,1,20086.5
Asus,Vivobook,12Th Gen,12,1024,Black,2.91,AMD Ryzen 3,502,123718,23.34,4.7,123.718,Premium,AMD,Ryzen 3,1,26322.978723404256
Acer,X1,10Th Gen,8,512,Blue,2.3,AMD Ryzen 5,541,61665,28.34,4.8,61.665,Mid-Range,AMD,Ryzen 5,1,12846.875
Lenovo,15,10Th Gen,16,1024,Black,1.72,Intel Core I3,129,83395,25.32,4.4,83.395,Premium,Intel,i3,1,18953.40909090909
Hp,14,12Th Gen,4,512,Black,1.64,Intel Core I7,643,161610,23.95,4.8,161.61,Premium,Intel,i7,1,33668.75
Dell,X1,10Th Gen,16,1024,Black,1.78,Intel Core I3,499,156336,28.43,4.0,156.336,Premium,Intel,i3,1,39084.0
Hp,15,12Th Gen,12,1024,Blue,2.55,Intel Core I5,563,91256,28.565,3.1,91.256,Premium,Intel,i5,1,29437.41935483871
