Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Review,Price,Offer,Rating
Asus,X1,12th Gen,8.0,512.0,White,2.0,Intel Core i7,,135308.32,39.85,3.5
Acer,15,10th Gen,4.0,256.0,Blue,1.6,AMD Ryzen 3,,167535.5,4.81,2.9
Lenovo,15,10th Gen,32.0,1024.0,Grey,2.9,Intel Core i3,,32650.53,,4.4
Asus,Inspiron,10th Gen,12.0,512.0,Black,2.89,AMD Ryzen 5,998.68,47405.24,,4.1
Hp,16,10th Gen,8.0,256.0,Silver,2.87,Intel Core i7,,109612.49,12.49,3.1
Hp,16,13th Gen,16.0,256.0,Black,2.99,AMD Ryzen 5,,114316.08,17.61,5.0
Hp,X1,11th Gen,8.0,1024.0,Blue,1.3,AMD Ryzen 3,569.16,58737.89,,2.6
Lenovo,16,13th Gen,32.0,512.0,Black,1.84,AMD Ryzen 5,,30771.65,42.21,3.3
Hp,16,12th Gen,8.0,1024.0,Blue,1.96,AMD Ryzen 5,,34991.76,47.45,4.8
Lenovo,16,13th Gen,16.0,256.0,White,2.27,Intel Core i7,363.02,197739.32,13.41,3.6
Acer,X1,10th Gen,12.0,512.0,Blue,1.7,AMD Ryzen 7,,171235.51,43.23,4.0
Acer,VivoBook,10th Gen,12.0,512.0,Grey,1.83,AMD Ryzen 5,592.35,70267.17,36.32,4.8
Acer,15,13th Gen,16.0,1024.0,Black,2.08,AMD Ryzen 3,,31881.14,36.65,3.3
Acer,X1,10th Gen,12.0,,White,2.07,AMD Ryzen 3,912.87,155860.56,,2.6
Asus,VivoBook,12th Gen,8.0,512.0,Silver,2.28,Intel Core i7,888.7,137325.62,4.0,3.8
Acer,16,11th Gen,32.0,512.0,White,2.03,Intel Core i5,894.55,27336.52,34.74,4.2
Lenovo,Inspiron,10th Gen,16.0,1024.0,White,2.31,AMD Ryzen 3,343.99,57829.39,,4.2
Lenovo,16,11th Gen,16.0,512.0,Blue,1.4,AMD Ryzen 3,108.62,47455.08,,3.2
Lenovo,14,10th Gen,12.0,1024.0,Grey,1.9,Intel Core i5,,60678.52,32.16,4.5
Hp,X1,12th Gen,4.0,,Grey,1.73,Intel Core i5,,116509.57,24.41,4.5
Lenovo,VivoBook,12th Gen,4.0,256.0,Black,1.52,Intel Core i5,,144965.48,,3.7
Acer,VivoBook,13th Gen,4.0,1024.0,Grey,2.22,AMD Ryzen 5,,80346.1,,4.0
